MSSubClass,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,MiscVal,MoSold,YrSold,MSZoning_RL,MSZoning_RM,LotShape_Reg,LandContour_Other,LotConfig_CulDSac,LotConfig_Other,Neighborhood_Edwards,Neighborhood_NridgHt,Neighborhood_Other,Neighborhood_Somerst,Condition1_Norm,HouseStyle_1Story,HouseStyle_2Story,RoofStyle_Hip,Exterior1st_MetalSd,Exterior1st_Other,Exterior1st_Plywood,Exterior2nd_Plywood,Exterior2nd_VinylSd,ExterQual_Other,ExterQual_TA,Foundation_PConc,BsmtQual_Gd,BsmtQual_Other,BsmtQual_TA,BsmtCond_TA,BsmtExposure_Gd,BsmtExposure_No,BsmtFinType1_BLQ,BsmtFinType1_GLQ,BsmtFinType1_Unf,HeatingQC_Gd,HeatingQC_TA,KitchenQual_Gd,KitchenQual_Other,KitchenQual_TA,Functional_Typ,GarageType_Detchd,GarageType_None,GarageType_Other,GarageFinish_None,GarageFinish_RFn,GarageFinish_Unf,GarageQual_TA,SaleType_WD,SaleCondition_Normal,SaleCondition_Partial,SalePrice
60,8450,7,5,2003,2003,196.0,706,0,856,5.235743327955636,854,0,1,0,2,1,3,1,8,0,2,0,61,0,0,0,0,2,2008,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,208500
20,9600,6,8,1976,1976,0.0,978,0,1262,5.460252904471252,0,0,0,1,2,0,3,1,6,1,2,298,0,0,0,0,0,5,2007,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,181500
60,11250,7,5,2001,2002,162.0,486,0,920,5.277966239841061,866,0,1,0,2,1,3,1,6,1,2,0,42,0,0,0,0,9,2008,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,223500
70,9550,7,5,1915,1970,0.0,216,0,756,5.303382164327886,756,0,1,0,1,0,3,1,7,1,3,0,35,272,0,0,0,2,2006,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,140000
60,14260,8,5,2000,2000,350.0,655,0,1145,5.404625920747876,1053,0,1,0,2,1,4,1,9,1,3,192,84,0,0,0,0,12,2008,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,250000
50,14115,5,5,1993,1995,0.0,732,0,796,5.192944326637177,566,0,1,0,1,1,1,1,5,0,2,40,30,0,320,0,700,10,2009,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,143000
20,10084,8,5,2004,2005,186.0,1369,0,1686,5.625996679438789,0,0,1,0,2,0,3,1,7,1,2,255,57,0,0,0,0,8,2007,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,307000
60,10382,7,6,1973,1973,240.0,859,32,1107,5.385229031764268,983,0,1,0,2,1,3,1,7,2,2,235,204,228,0,0,350,11,2009,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,200000
50,6120,7,5,1931,1950,0.0,0,0,952,5.339108343668596,752,0,0,0,2,0,2,2,8,2,2,90,0,205,0,0,0,4,2008,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,129900
190,7420,5,6,1939,1950,0.0,851,0,991,5.369401266322822,0,0,1,0,1,0,2,2,5,2,1,0,4,0,0,0,0,1,2008,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,118000
20,11200,5,5,1965,1965,0.0,906,0,1040,5.349212138787681,0,0,1,0,1,0,3,1,5,0,1,0,0,0,0,0,0,2,2008,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,129500
60,11924,9,5,2005,2006,286.0,998,0,1175,5.422856287501486,1142,0,1,0,3,0,4,1,11,2,3,147,21,0,0,0,0,7,2006,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,345000
20,12968,5,6,1962,1962,0.0,737,0,912,5.272864656323175,0,0,1,0,1,0,2,1,4,0,1,140,0,0,0,176,0,9,2008,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,144000
20,10652,7,5,2006,2007,306.0,0,0,1494,5.555734336926232,0,0,0,0,2,0,3,1,7,1,3,160,33,0,0,0,0,8,2007,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,279500
